# energy,bc_sum,bcd_x_sum,bcd_y_sum
-3.000000,-0.000000,-0.000000,-0.000000
-2.993900,-0.000000,-0.000000,-0.000000
-2.987800,-0.000000,-0.000000,-0.000000
-2.981700,-0.000000,-0.000000,-0.000000
-2.975600,-0.000000,-0.000000,-0.000000
-2.969500,-0.000000,-0.000000,-0.000000
-2.963400,-0.000001,-0.000000,-0.000000
-2.957300,-0.000001,-0.000000,-0.000000
-2.951200,-0.000001,-0.000000,-0.000000
-2.945100,-0.000001,-0.000000,-0.000000
-2.939000,-0.000002,-0.000000,-0.000000
-2.932900,-0.000002,-0.000000,-0.000000
-2.926800,-0.000003,-0.000000,-0.000000
-2.920700,-0.000003,-0.000000,-0.000000
-2.914600,-0.000004,-0.000000,-0.000000
-2.908500,-0.000005,-0.000000,-0.000000
-2.902400,-0.000006,-0.000000,-0.000000
-2.896300,-0.000007,-0.000000,-0.000000
-2.890200,-0.000008,-0.000000,-0.000000
-2.884100,-0.000009,-0.000000,-0.000000
-2.878000,-0.000010,-0.000000,-0.000000
-2.871900,-0.000012,-0.000000,-0.000000
-2.865800,-0.000014,-0.000000,-0.000000
-2.859700,-0.000015,-0.000000,-0.000000
-2.853600,-0.000017,-0.000000,-0.000000
-2.847500,-0.000020,-0.000000,-0.000000
-2.841400,-0.000022,-0.000000,-0.000000
-2.835300,-0.000024,-0.000000,-0.000000
-2.829200,-0.000027,-0.000000,-0.000000
-2.823100,-0.000030,-0.000001,-0.000000
-2.817000,-0.000033,-0.000001,-0.000000
-2.810900,-0.000037,-0.000001,-0.000000
-2.804800,-0.000040,-0.000001,-0.000000
-2.798700,-0.000044,-0.000001,-0.000000
-2.792600,-0.000048,-0.000001,-0.000000
-2.786500,-0.000053,-0.000001,-0.000000
-2.780400,-0.000058,-0.000001,-0.000000
-2.774300,-0.000063,-0.000001,-0.000000
-2.768200,-0.000068,-0.000001,-0.000000
-2.762100,-0.000074,-0.000001,-0.000000
-2.756000,-0.000080,-0.000001,-0.000000
-2.749900,-0.000086,-0.000002,-0.000000
-2.743800,-0.000093,-0.000002,-0.000001
-2.737700,-0.000100,-0.000002,-0.000001
-2.731600,-0.000108,-0.000002,-0.000001
-2.725500,-0.000115,-0.000002,-0.000001
-2.719400,-0.000124,-0.000002,-0.000001
-2.713300,-0.000132,-0.000002,-0.000001
-2.707200,-0.000132,-0.000002,-0.000001
-2.701100,-0.000151,-0.000003,-0.000001
-2.695000,-0.000161,-0.000003,-0.000001
-2.688900,-0.000172,-0.000003,-0.000001
-2.682800,-0.000183,-0.000003,-0.000001
-2.676700,-0.000194,-0.000004,-0.000001
-2.670600,-0.000207,-0.000004,-0.000001
-2.664500,-0.000220,-0.000004,-0.000001
-2.658400,-0.000233,-0.000004,-0.000001
-2.652300,-0.000247,-0.000005,-0.000001
-2.646200,-0.000261,-0.000005,-0.000001
-2.640100,-0.000277,-0.000005,-0.000001
-2.634000,-0.000293,-0.000006,-0.000002
-2.627900,-0.000310,-0.000006,-0.000002
-2.621800,-0.000327,-0.000006,-0.000002
-2.615700,-0.000345,-0.000007,-0.000002
-2.609600,-0.000364,-0.000007,-0.000002
-2.603500,-0.000382,-0.000008,-0.000002
-2.597400,-0.000403,-0.000008,-0.000002
-2.591300,-0.000424,-0.000008,-0.000002
-2.585200,-0.000446,-0.000009,-0.000002
-2.579100,-0.000468,-0.000009,-0.000003
-2.573000,-0.000492,-0.000010,-0.000003
-2.566900,-0.000516,-0.000010,-0.000003
-2.560800,-0.000542,-0.000011,-0.000003
-2.554700,-0.000570,-0.000012,-0.000003
-2.548600,-0.000597,-0.000012,-0.000003
-2.542500,-0.000624,-0.000013,-0.000003
-2.536400,-0.000654,-0.000013,-0.000004
-2.530300,-0.000686,-0.000014,-0.000004
-2.524200,-0.000716,-0.000015,-0.000004
-2.518100,-0.000749,-0.000015,-0.000004
-2.512000,-0.000784,-0.000016,-0.000004
-2.505900,-0.000820,-0.000017,-0.000005
-2.499800,-0.000856,-0.000018,-0.000005
-2.493700,-0.000891,-0.000019,-0.000005
-2.487600,-0.000932,-0.000020,-0.000005
-2.481500,-0.000973,-0.000021,-0.000005
-2.475400,-0.001014,-0.000021,-0.000006
-2.469300,-0.001059,-0.000023,-0.000006
-2.463200,-0.001102,-0.000024,-0.000006
-2.457100,-0.001147,-0.000025,-0.000006
-2.451000,-0.001197,-0.000026,-0.000007
-2.444900,-0.001243,-0.000027,-0.000007
-2.438800,-0.001295,-0.000028,-0.000007
-2.432700,-0.001349,-0.000029,-0.000008
-2.426600,-0.001401,-0.000031,-0.000008
-2.420500,-0.001457,-0.000032,-0.000008
-2.414400,-0.001515,-0.000033,-0.000009
-2.408300,-0.001574,-0.000035,-0.000009
-2.402200,-0.001635,-0.000036,-0.000009
-2.396100,-0.001702,-0.000038,-0.000010
-2.390000,-0.001763,-0.000039,-0.000010
-2.383900,-0.001834,-0.000041,-0.000011
-2.377800,-0.001900,-0.000043,-0.000011
-2.371700,-0.001973,-0.000044,-0.000012
-2.365600,-0.002047,-0.000046,-0.000012
-2.359500,-0.002124,-0.000048,-0.000012
-2.353400,-0.002201,-0.000050,-0.000013
-2.347300,-0.002283,-0.000052,-0.000014
-2.341200,-0.002364,-0.000054,-0.000014
-2.335100,-0.002450,-0.000056,-0.000015
-2.329000,-0.002538,-0.000059,-0.000015
-2.322900,-0.002630,-0.000061,-0.000016
-2.316800,-0.002630,-0.000061,-0.000016
-2.310700,-0.002724,-0.000063,-0.000016
-2.304600,-0.002919,-0.000068,-0.000018
-2.298500,-0.003023,-0.000071,-0.000018
-2.292400,-0.003023,-0.000071,-0.000018
-2.286300,-0.003124,-0.000074,-0.000019
-2.280200,-0.003342,-0.000080,-0.000021
-2.274100,-0.003458,-0.000083,-0.000021
-2.268000,-0.003576,-0.000086,-0.000022
-2.261900,-0.003576,-0.000086,-0.000022
-2.255800,-0.003822,-0.000092,-0.000024
-2.249700,-0.003955,-0.000096,-0.000025
-2.243600,-0.004078,-0.000099,-0.000026
-2.237500,-0.004214,-0.000103,-0.000027
-2.231400,-0.004358,-0.000107,-0.000028
-2.225300,-0.004501,-0.000111,-0.000029
-2.219200,-0.004644,-0.000115,-0.000030
-2.213100,-0.004797,-0.000119,-0.000031
-2.207000,-0.004950,-0.000124,-0.000032
-2.200900,-0.005112,-0.000128,-0.000033
-2.194800,-0.005276,-0.000133,-0.000034
-2.188700,-0.005445,-0.000138,-0.000035
-2.182600,-0.005615,-0.000142,-0.000036
-2.176500,-0.005797,-0.000148,-0.000038
-2.170400,-0.005977,-0.000153,-0.000039
-2.164300,-0.006165,-0.000158,-0.000041
-2.158200,-0.006361,-0.000164,-0.000042
-2.152100,-0.006556,-0.000170,-0.000043
-2.146000,-0.006761,-0.000176,-0.000045
-2.139900,-0.006973,-0.000182,-0.000047
-2.133800,-0.007188,-0.000188,-0.000048
-2.127700,-0.007403,-0.000195,-0.000050
-2.121600,-0.007634,-0.000202,-0.000052
-2.115500,-0.007863,-0.000209,-0.000053
-2.109400,-0.008102,-0.000216,-0.000055
-2.103300,-0.008342,-0.000223,-0.000057
-2.097200,-0.008598,-0.000231,-0.000059
-2.091100,-0.008866,-0.000240,-0.000061
-2.085000,-0.009117,-0.000247,-0.000063
-2.078900,-0.009395,-0.000256,-0.000065
-2.072800,-0.009678,-0.000265,-0.000067
-2.066700,-0.009962,-0.000274,-0.000070
-2.060600,-0.010260,-0.000283,-0.000072
-2.054500,-0.010562,-0.000293,-0.000075
-2.048400,-0.010873,-0.000303,-0.000077
-2.042300,-0.011188,-0.000313,-0.000080
-2.036200,-0.011506,-0.000323,-0.000082
-2.030100,-0.011854,-0.000334,-0.000085
-2.024000,-0.012202,-0.000346,-0.000088
-2.017900,-0.012550,-0.000357,-0.000091
-2.011800,-0.012911,-0.000369,-0.000094
-2.005700,-0.013277,-0.000381,-0.000097
-1.999600,-0.013669,-0.000394,-0.000100
-1.993500,-0.014056,-0.000407,-0.000104
-1.987400,-0.014460,-0.000421,-0.000107
-1.981300,-0.014858,-0.000434,-0.000110
-1.975200,-0.015305,-0.000450,-0.000114
-1.969100,-0.015739,-0.000465,-0.000118
-1.963000,-0.016172,-0.000479,-0.000122
-1.956900,-0.016628,-0.000495,-0.000126
-1.950800,-0.017100,-0.000512,-0.000130
-1.944700,-0.017600,-0.000529,-0.000134
-1.938600,-0.018093,-0.000546,-0.000139
-1.932500,-0.018592,-0.000564,-0.000143
-1.926400,-0.019112,-0.000583,-0.000148
-1.920300,-0.019663,-0.000602,-0.000153
-1.914200,-0.020215,-0.000622,-0.000158
-1.908100,-0.020764,-0.000642,-0.000163
-1.902000,-0.021349,-0.000663,-0.000168
-1.895900,-0.021913,-0.000684,-0.000173
-1.889800,-0.022544,-0.000707,-0.000179
-1.883700,-0.023175,-0.000730,-0.000185
-1.877600,-0.023806,-0.000754,-0.000191
-1.871500,-0.024460,-0.000778,-0.000197
-1.865400,-0.025135,-0.000803,-0.000204
-1.859300,-0.025827,-0.000829,-0.000210
-1.853200,-0.026566,-0.000857,-0.000218
-1.847100,-0.026566,-0.000857,-0.000218
-1.841000,-0.028021,-0.000913,-0.000231
-1.834900,-0.028021,-0.000913,-0.000231
-1.828800,-0.028803,-0.000943,-0.000239
-1.822700,-0.030415,-0.001006,-0.000255
-1.816600,-0.030415,-0.001006,-0.000255
-1.810500,-0.032095,-0.001072,-0.000271
-1.804400,-0.032938,-0.001106,-0.000280
-1.798300,-0.032938,-0.001106,-0.000280
-1.792200,-0.034794,-0.001180,-0.000299
-1.786100,-0.034794,-0.001180,-0.000299
-1.780000,-0.036691,-0.001257,-0.000318
-1.773900,-0.037713,-0.001298,-0.000329
-1.767800,-0.037713,-0.001298,-0.000329
-1.761700,-0.039804,-0.001384,-0.000351
-1.755600,-0.040891,-0.001430,-0.000362
-1.749500,-0.041976,-0.001475,-0.000373
-1.743400,-0.043090,-0.001522,-0.000385
-1.737300,-0.043090,-0.001522,-0.000385
-1.731200,-0.045514,-0.001624,-0.000411
-1.725100,-0.046761,-0.001677,-0.000425
-1.719000,-0.048031,-0.001732,-0.000438
-1.712900,-0.049337,-0.001788,-0.000452
-1.706800,-0.050667,-0.001846,-0.000467
-1.700700,-0.052049,-0.001906,-0.000482
-1.694600,-0.053455,-0.001968,-0.000498
-1.688500,-0.054852,-0.002030,-0.000513
-1.682400,-0.056396,-0.002098,-0.000531
-1.676300,-0.057943,-0.002167,-0.000548
-1.670200,-0.059505,-0.002237,-0.000566
-1.664100,-0.061143,-0.002311,-0.000585
-1.658000,-0.062855,-0.002388,-0.000604
-1.651900,-0.064537,-0.002465,-0.000623
-1.645800,-0.066256,-0.002544,-0.000643
-1.639700,-0.068023,-0.002626,-0.000664
-1.633600,-0.068023,-0.002626,-0.000664
-1.627500,-0.071843,-0.002803,-0.000708
-1.621400,-0.071843,-0.002803,-0.000708
-1.615300,-0.073787,-0.002894,-0.000732
-1.609200,-0.077935,-0.003090,-0.000780
-1.603100,-0.077935,-0.003090,-0.000780
-1.597000,-0.082194,-0.003294,-0.000834
-1.590900,-0.084482,-0.003405,-0.000860
-1.584800,-0.084482,-0.003405,-0.000860
-1.578700,-0.089247,-0.003636,-0.000919
-1.572600,-0.089247,-0.003636,-0.000919
-1.566500,-0.094284,-0.003883,-0.000981
-1.560400,-0.096818,-0.004008,-0.001012
-1.554300,-0.099481,-0.004141,-0.001047
-1.548200,-0.102309,-0.004283,-0.001082
-1.542100,-0.105189,-0.004426,-0.001118
-1.536000,-0.108086,-0.004573,-0.001156
-1.529900,-0.111139,-0.004728,-0.001194
-1.523800,-0.111139,-0.004728,-0.001194
-1.517700,-0.117387,-0.005048,-0.001274
-1.511600,-0.120721,-0.005220,-0.001320
-1.505500,-0.124174,-0.005399,-0.001364
-1.499400,-0.127683,-0.005581,-0.001410
-1.493300,-0.131208,-0.005764,-0.001455
-1.487200,-0.134999,-0.005964,-0.001507
-1.481100,-0.138925,-0.006171,-0.001559
-1.475000,-0.142783,-0.006376,-0.001609
-1.468900,-0.146888,-0.006595,-0.001665
-1.462800,-0.151132,-0.006821,-0.001725
-1.456700,-0.155592,-0.007061,-0.001784
-1.450600,-0.160035,-0.007299,-0.001842
-1.444500,-0.164700,-0.007552,-0.001907
-1.438400,-0.169390,-0.007808,-0.001973
-1.432300,-0.174440,-0.008084,-0.002041
-1.426200,-0.179378,-0.008354,-0.002108
-1.420100,-0.184859,-0.008653,-0.002187
-1.414000,-0.190280,-0.008955,-0.002263
-1.407900,-0.190280,-0.008955,-0.002263
-1.401800,-0.196045,-0.009271,-0.002339
-1.395700,-0.207731,-0.009923,-0.002508
-1.389600,-0.207731,-0.009923,-0.002508
-1.383500,-0.220611,-0.010641,-0.002688
-1.377400,-0.220611,-0.010641,-0.002688
-1.371300,-0.227000,-0.010999,-0.002777
-1.365200,-0.241504,-0.011815,-0.002983
-1.359100,-0.241504,-0.011815,-0.002983
-1.353000,-0.256278,-0.012648,-0.003190
-1.346900,-0.264335,-0.012199,-0.002967
-1.340800,-0.264335,-0.012199,-0.002967
-1.334700,-0.281423,-0.012419,-0.003071
