# energy,bc_sum,bcd_x_sum,bcd_y_sum
-3.000000,0.000030,0.000000,-0.000023
-2.993900,0.000038,0.000000,-0.000029
-2.987800,0.000045,0.000001,-0.000035
-2.981700,0.000053,0.000001,-0.000042
-2.975600,0.000061,0.000001,-0.000049
-2.969500,0.000069,0.000001,-0.000056
-2.963400,0.000078,0.000001,-0.000063
-2.957300,0.000086,0.000001,-0.000071
-2.951200,0.000095,0.000001,-0.000079
-2.945100,0.000104,0.000001,-0.000087
-2.939000,0.000113,0.000001,-0.000095
-2.932900,0.000122,0.000001,-0.000104
-2.926800,0.000131,0.000001,-0.000113
-2.920700,0.000141,0.000002,-0.000122
-2.914600,0.000151,0.000002,-0.000132
-2.908500,0.000161,0.000003,-0.000142
-2.902400,0.000171,0.000004,-0.000152
-2.896300,0.000181,0.000004,-0.000163
-2.890200,0.000192,0.000004,-0.000175
-2.884100,0.000203,0.000005,-0.000186
-2.878000,0.000214,0.000007,-0.000198
-2.871900,0.000225,0.000010,-0.000209
-2.865800,0.000237,0.000014,-0.000221
-2.859700,0.000249,0.000018,-0.000235
-2.853600,0.000260,0.000020,-0.000247
-2.847500,0.000272,0.000022,-0.000262
-2.841400,0.000284,0.000024,-0.000275
-2.835300,0.000297,0.000025,-0.000290
-2.829200,0.000310,0.000027,-0.000306
-2.823100,0.000323,0.000028,-0.000324
-2.817000,0.000336,0.000029,-0.000340
-2.810900,0.000349,0.000031,-0.000356
-2.804800,0.000363,0.000033,-0.000374
-2.798700,0.000378,0.000035,-0.000393
-2.792600,0.000392,0.000036,-0.000413
-2.786500,0.000407,0.000038,-0.000434
-2.780400,0.000421,0.000040,-0.000453
-2.774300,0.000437,0.000042,-0.000475
-2.768200,0.000452,0.000045,-0.000497
-2.762100,0.000467,0.000047,-0.000519
-2.756000,0.000483,0.000049,-0.000542
-2.749900,0.000501,0.000052,-0.000569
-2.743800,0.000517,0.000054,-0.000595
-2.737700,0.000534,0.000057,-0.000621
-2.731600,0.000552,0.000060,-0.000649
-2.725500,0.000570,0.000062,-0.000678
-2.719400,0.000587,0.000066,-0.000708
-2.713300,0.000606,0.000069,-0.000738
-2.707200,0.000606,0.000069,-0.000738
-2.701100,0.000644,0.000076,-0.000802
-2.695000,0.000662,0.000079,-0.000835
-2.688900,0.000683,0.000083,-0.000872
-2.682800,0.000703,0.000087,-0.000907
-2.676700,0.000723,0.000090,-0.000947
-2.670600,0.000742,0.000094,-0.000984
-2.664500,0.000766,0.000099,-0.001025
-2.658400,0.000787,0.000103,-0.001070
-2.652300,0.000808,0.000108,-0.001113
-2.646200,0.000833,0.000113,-0.001158
-2.640100,0.000856,0.000118,-0.001206
-2.634000,0.000882,0.000124,-0.001255
-2.627900,0.000905,0.000129,-0.001306
-2.621800,0.000930,0.000134,-0.001361
-2.615700,0.000955,0.000140,-0.001413
-2.609600,0.000979,0.000146,-0.001469
-2.603500,0.001007,0.000153,-0.001528
-2.597400,0.001032,0.000160,-0.001590
-2.591300,0.001061,0.000168,-0.001659
-2.585200,0.001091,0.000177,-0.001725
-2.579100,0.001119,0.000185,-0.001792
-2.573000,0.001147,0.000194,-0.001862
-2.566900,0.001177,0.000203,-0.001939
-2.560800,0.001210,0.000215,-0.002013
-2.554700,0.001240,0.000226,-0.002101
-2.548600,0.001276,0.000239,-0.002186
-2.542500,0.001305,0.000250,-0.002270
-2.536400,0.001337,0.000260,-0.002358
-2.530300,0.001376,0.000276,-0.002459
-2.524200,0.001412,0.000292,-0.002562
-2.518100,0.001448,0.000307,-0.002659
-2.512000,0.001486,0.000323,-0.002776
-2.505900,0.001523,0.000339,-0.002877
-2.499800,0.001563,0.000359,-0.003005
-2.493700,0.001607,0.000382,-0.003122
-2.487600,0.001647,0.000403,-0.003268
-2.481500,0.001688,0.000422,-0.003387
-2.475400,0.001736,0.000449,-0.003546
-2.469300,0.001780,0.000476,-0.003696
-2.463200,0.001829,0.000502,-0.003851
-2.457100,0.001873,0.000525,-0.004012
-2.451000,0.001928,0.000560,-0.004184
-2.444900,0.001983,0.000595,-0.004382
-2.438800,0.002036,0.000629,-0.004559
-2.432700,0.002086,0.000660,-0.004758
-2.426600,0.002150,0.000709,-0.004966
-2.420500,0.002215,0.000762,-0.005201
-2.414400,0.002277,0.000809,-0.005434
-2.408300,0.002331,0.000851,-0.005681
-2.402200,0.002404,0.000919,-0.005918
-2.396100,0.002481,0.000993,-0.006216
-2.390000,0.002538,0.001042,-0.006467
-2.383900,0.002624,0.001143,-0.006801
-2.377800,0.002707,0.001247,-0.007109
-2.371700,0.002788,0.001335,-0.007455
-2.365600,0.002865,0.001427,-0.007784
-2.359500,0.002963,0.001555,-0.008171
-2.353400,0.003064,0.001696,-0.008596
-2.347300,0.003146,0.001792,-0.008991
-2.341200,0.003269,0.001979,-0.009420
-2.335100,0.003383,0.002172,-0.009989
-2.329000,0.003482,0.002291,-0.010359
-2.322900,0.003621,0.002546,-0.011026
-2.316800,0.003621,0.002546,-0.011026
-2.310700,0.003761,0.002820,-0.011561
-2.304600,0.004058,0.003365,-0.012850
-2.298500,0.004230,0.003763,-0.013641
-2.292400,0.004230,0.003763,-0.013641
-2.286300,0.004394,0.004112,-0.014231
-2.280200,0.004801,0.005207,-0.015959
