# energy,bc_sum,bcd_x_sum,bcd_y_sum
-3.000000,0.000014,0.000014,-0.000018
-2.993900,0.000018,0.000018,-0.000023
-2.987800,0.000021,0.000022,-0.000028
-2.981700,0.000025,0.000026,-0.000033
-2.975600,0.000029,0.000031,-0.000038
-2.969500,0.000033,0.000035,-0.000043
-2.963400,0.000036,0.000040,-0.000049
-2.957300,0.000040,0.000044,-0.000054
-2.951200,0.000045,0.000049,-0.000060
-2.945100,0.000049,0.000055,-0.000066
-2.939000,0.000053,0.000060,-0.000072
-2.932900,0.000057,0.000066,-0.000078
-2.926800,0.000062,0.000072,-0.000084
-2.920700,0.000067,0.000077,-0.000090
-2.914600,0.000071,0.000085,-0.000096
-2.908500,0.000076,0.000091,-0.000103
-2.902400,0.000081,0.000096,-0.000110
-2.896300,0.000086,0.000102,-0.000117
-2.890200,0.000091,0.000111,-0.000124
-2.884100,0.000096,0.000120,-0.000131
-2.878000,0.000101,0.000129,-0.000139
-2.871900,0.000107,0.000134,-0.000149
-2.865800,0.000112,0.000146,-0.000157
-2.859700,0.000118,0.000154,-0.000165
-2.853600,0.000123,0.000159,-0.000176
-2.847500,0.000129,0.000170,-0.000184
-2.841400,0.000135,0.000175,-0.000197
-2.835300,0.000141,0.000187,-0.000207
-2.829200,0.000147,0.000200,-0.000217
-2.823100,0.000154,0.000202,-0.000230
-2.817000,0.000160,0.000214,-0.000240
-2.810900,0.000166,0.000225,-0.000253
-2.804800,0.000173,0.000237,-0.000267
-2.798700,0.000179,0.000245,-0.000281
-2.792600,0.000186,0.000258,-0.000291
-2.786500,0.000194,0.000266,-0.000308
-2.780400,0.000201,0.000283,-0.000323
-2.774300,0.000208,0.000292,-0.000339
-2.768200,0.000216,0.000298,-0.000356
-2.762100,0.000224,0.000312,-0.000377
-2.756000,0.000231,0.000324,-0.000395
-2.749900,0.000239,0.000336,-0.000414
-2.743800,0.000247,0.000354,-0.000432
-2.737700,0.000255,0.000368,-0.000455
-2.731600,0.000264,0.000376,-0.000477
-2.725500,0.000272,0.000392,-0.000501
-2.719400,0.000280,0.000407,-0.000522
-2.713300,0.000289,0.000420,-0.000545
-2.707200,0.000289,0.000420,-0.000545
-2.701100,0.000307,0.000454,-0.000600
-2.695000,0.000318,0.000464,-0.000625
-2.688900,0.000326,0.000486,-0.000655
-2.682800,0.000336,0.000499,-0.000680
-2.676700,0.000346,0.000514,-0.000720
-2.670600,0.000356,0.000532,-0.000750
-2.664500,0.000366,0.000547,-0.000778
-2.658400,0.000376,0.000582,-0.000816
-2.652300,0.000388,0.000590,-0.000852
-2.646200,0.000401,0.000599,-0.000895
-2.640100,0.000411,0.000621,-0.000937
-2.634000,0.000423,0.000632,-0.000974
-2.627900,0.000434,0.000663,-0.001024
-2.621800,0.000445,0.000676,-0.001069
-2.615700,0.000460,0.000692,-0.001121
-2.609600,0.000470,0.000720,-0.001168
-2.603500,0.000486,0.000728,-0.001223
-2.597400,0.000498,0.000751,-0.001281
-2.591300,0.000511,0.000771,-0.001334
-2.585200,0.000524,0.000803,-0.001396
-2.579100,0.000538,0.000816,-0.001454
-2.573000,0.000549,0.000864,-0.001520
-2.566900,0.000564,0.000874,-0.001594
-2.560800,0.000583,0.000889,-0.001666
-2.554700,0.000595,0.000921,-0.001745
-2.548600,0.000615,0.000927,-0.001822
-2.542500,0.000629,0.000958,-0.001910
-2.536400,0.000647,0.000986,-0.001984
-2.530300,0.000667,0.000983,-0.002094
-2.524200,0.000682,0.001027,-0.002176
-2.518100,0.000696,0.001061,-0.002284
-2.512000,0.000721,0.001060,-0.002388
-2.505900,0.000734,0.001116,-0.002502
-2.499800,0.000756,0.001132,-0.002608
-2.493700,0.000769,0.001187,-0.002724
-2.487600,0.000795,0.001178,-0.002862
-2.481500,0.000812,0.001232,-0.002993
-2.475400,0.000836,0.001227,-0.003147
-2.469300,0.000858,0.001269,-0.003296
-2.463200,0.000880,0.001304,-0.003453
-2.457100,0.000903,0.001349,-0.003621
-2.451000,0.000934,0.001336,-0.003801
-2.444900,0.000959,0.001368,-0.003988
-2.438800,0.000984,0.001399,-0.004186
-2.432700,0.001010,0.001448,-0.004386
-2.426600,0.001038,0.001464,-0.004594
-2.420500,0.001065,0.001482,-0.004847
-2.414400,0.001102,0.001473,-0.005084
-2.408300,0.001120,0.001606,-0.005307
-2.402200,0.001161,0.001566,-0.005593
-2.396100,0.001187,0.001618,-0.005891
-2.390000,0.001232,0.001590,-0.006192
-2.383900,0.001253,0.001708,-0.006494
-2.377800,0.001304,0.001691,-0.006825
-2.371700,0.001332,0.001768,-0.007224
-2.365600,0.001379,0.001732,-0.007598
-2.359500,0.001411,0.001848,-0.008005
-2.353400,0.001461,0.001859,-0.008416
-2.347300,0.001515,0.001812,-0.008895
-2.341200,0.001568,0.001833,-0.009403
-2.335100,0.001607,0.001951,-0.009883
-2.329000,0.001663,0.001955,-0.010462
-2.322900,0.001721,0.001960,-0.011098
-2.316800,0.001721,0.001960,-0.011098
-2.310700,0.001774,0.002067,-0.011685
-2.304600,0.001905,0.002217,-0.013074
-2.298500,0.001971,0.002192,-0.013862
-2.292400,0.001971,0.002192,-0.013862
-2.286300,0.002030,0.002463,-0.014618
-2.280200,0.002192,0.002501,-0.016504
-2.274100,0.002312,0.002743,-0.017399
-2.268000,0.002397,0.003083,-0.018509
-2.261900,0.002397,0.003083,-0.018509
-2.255800,0.002624,0.003112,-0.021072
-2.249700,0.002699,0.003729,-0.022137
-2.243600,0.002840,0.003926,-0.023782
-2.237500,0.002963,0.004261,-0.025139
-2.231400,0.003136,0.005114,-0.026932
-2.225300,0.003292,0.005953,-0.028329
-2.219200,0.003500,0.006365,-0.030340
-2.213100,0.003739,0.007734,-0.032121
-2.207000,0.004018,0.009512,-0.034274
-2.200900,0.004298,0.010826,-0.036213
-2.194800,0.004688,0.013444,-0.038674
-2.188700,0.005116,0.017399,-0.039907
-2.182600,0.005715,0.021009,-0.041490
-2.176500,0.006630,0.027747,-0.041001
-2.170400,0.007472,0.041100,-0.037717
-2.164300,0.008168,0.047674,-0.037852
-2.158200,0.008852,0.056480,-0.039702
-2.152100,0.009540,0.070340,-0.039907
-2.146000,0.010200,0.081665,-0.040705
-2.139900,0.011000,0.094750,-0.043388
-2.133800,0.011821,0.118892,-0.046664
-2.127700,0.012575,0.134089,-0.047326
-2.121600,0.013554,0.147977,-0.050875
-2.115500,0.014792,0.166624,-0.056037
-2.109400,0.016385,0.184813,-0.069243
-2.103300,0.018236,0.192977,-0.092099
-2.097200,0.021105,0.205062,-0.121851
-2.091100,0.025227,0.208849,-0.167028
-2.085000,0.031923,0.218528,-0.229829
-2.078900,0.043162,0.249540,-0.321337
-2.072800,0.067382,0.351169,-0.424587
-2.066700,0.134452,0.275991,-0.289048
-2.060600,0.169582,0.179469,-0.220951
-2.054500,0.190013,0.127206,-0.184611
-2.048400,0.202640,0.073826,-0.161017
-2.042300,0.209510,0.023589,-0.145669
-2.036200,0.212184,-0.026073,-0.131259
-2.030100,0.185898,-0.072625,-0.116523
-2.024000,0.131654,0.034499,-0.073501
-2.017900,0.089376,0.058144,-0.090502
-2.011800,0.054665,0.070564,-0.103834
-2.005700,0.024600,0.091378,-0.113026
-1.999600,-0.002419,0.113836,-0.114976
-1.993500,-0.026449,0.132100,-0.118829
-1.987400,-0.048373,0.145422,-0.119839
-1.981300,-0.069093,0.146812,-0.118761
-1.975200,-0.088368,0.133340,-0.114916
-1.969100,-0.107433,0.122677,-0.107373
-1.963000,-0.125164,0.087374,-0.114423
-1.956900,-0.143761,0.059304,-0.121135
-1.950800,-0.161618,0.024398,-0.127207
-1.944700,-0.178745,-0.001299,-0.131762
-1.938600,-0.196516,0.014107,-0.122703
-1.932500,-0.196797,0.020639,-0.120405
-1.926400,-0.191942,0.000901,-0.124566
-1.920300,-0.186270,-0.016279,-0.129369
-1.914200,-0.180403,-0.021004,-0.130716
-1.908100,-0.173711,-0.026967,-0.133899
-1.902000,-0.167601,-0.031355,-0.132819
-1.895900,-0.160517,-0.028858,-0.131679
-1.889800,-0.153445,-0.027111,-0.130193
-1.883700,-0.146319,-0.029691,-0.130379
-1.877600,-0.138906,-0.030012,-0.130199
-1.871500,-0.131627,-0.031082,-0.128897
-1.865400,-0.124135,-0.033868,-0.127598
-1.859300,-0.116838,-0.041090,-0.126739
-1.853200,-0.109459,-0.045693,-0.125729
-1.847100,-0.109459,-0.045693,-0.125729
-1.841000,-0.095242,-0.059599,-0.122262
-1.834900,-0.095242,-0.059599,-0.122262
-1.828800,-0.088194,-0.064983,-0.119907
-1.822700,-0.074485,-0.060224,-0.107337
-1.816600,-0.074485,-0.060224,-0.107337
-1.810500,-0.061163,-0.058037,-0.094893
-1.804400,-0.054746,-0.055041,-0.085999
-1.798300,-0.054746,-0.055041,-0.085999
-1.792200,-0.042144,-0.057981,-0.076403
-1.786100,-0.042144,-0.057981,-0.076403
-1.780000,-0.028787,-0.052901,-0.062559
-1.773900,-0.021532,-0.041634,-0.055571
-1.767800,-0.021532,-0.041634,-0.055571
-1.761700,-0.005339,-0.021046,-0.045565
-1.755600,0.005037,-0.005048,-0.040063
-1.749500,0.017996,0.020546,-0.033886
-1.743400,0.039042,0.044837,-0.022033
-1.737300,0.039042,0.044837,-0.022033
-1.731200,0.068495,0.063442,-0.004340
-1.725100,0.081154,0.075180,0.006758
-1.719000,0.093164,0.073098,0.014287
-1.712900,0.105467,0.081834,0.019390
-1.706800,0.117956,0.086776,0.026376
-1.700700,0.130722,0.087759,0.031049
-1.694600,0.144380,0.094032,0.037159
-1.688500,0.158132,0.093547,0.040198
-1.682400,0.172676,0.100340,0.043879
-1.676300,0.188098,0.098509,0.046835
-1.670200,0.204130,0.098935,0.047682
-1.664100,0.221135,0.099000,0.051229
-1.658000,0.238884,0.099861,0.052877
-1.651900,0.257606,0.102770,0.055422
-1.645800,0.277275,0.100577,0.056855
-1.639700,0.297504,0.096266,0.057773
-1.633600,0.297504,0.096266,0.057773
-1.627500,0.341922,0.097546,0.059473
-1.621400,0.341922,0.097546,0.059473
-1.615300,0.365599,0.097942,0.060757
